URL,Title,Author,Number of reviews,Number of ratings,Average rating,Pages,Publish year,Series,Genres,Awards,Places,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com//book/show/2767052-the-hunger-games,The Hunger Games,Suzanne Collins,173693,6532535,4.33,374,2008,1,"Young Adult, Fiction, Science Fiction",41.0,"District 12, Panem, Capitol, Panem, Panem",7.99,2.17
https://www.goodreads.com//book/show/40961427-1984,1984,George Orwell,72336,3248738,4.19,237,2013,0,"Classics, Fiction, Science Fiction",2.0,"London, England, England, United Kingdom",7.57,1.75
https://www.goodreads.com//book/show/3636.The_Giver,The Giver,Lois Lowry,65998,1836308,4.13,208,2006,1,"Young Adult, Fiction, Classics",22.0,,7.39,1.57
https://www.goodreads.com//book/show/13335037-divergent,Divergent,Veronica Roth,108877,2988154,4.19,487,2012,1,"Young Adult, Science Fiction, Dystopia",20.0,"Chicago, Illinois",7.57,1.75
https://www.goodreads.com//book/show/5129.Brave_New_World,Brave New World,Aldous Huxley,31466,1475247,3.99,288,1998,0,"Classics, Fiction, Science Fiction",,"New Mexico, London, England",6.97,1.15
https://www.goodreads.com//book/show/13079982-fahrenheit-451,Fahrenheit 451,Ray Bradbury,49362,1732046,3.99,194,2011,0,"Classics, Fiction, Science Fiction",4.0,,6.97,1.15
https://www.goodreads.com//book/show/38447.The_Handmaid_s_Tale,The Handmaid's Tale,Margaret Atwood,72324,1508603,4.11,314,1998,1,"Fiction, Classics, Science Fiction",13.0,"Cambridge, Massachusetts, Republic of Gilead",7.33,1.51
https://www.goodreads.com//book/show/170448.Animal_Farm,Animal Farm,George Orwell,57960,2822789,3.95,141,1996,0,"Classics, Fiction, Science Fiction",2.0,"England, United Kingdom",6.85,1.03
https://www.goodreads.com//book/show/7624.Lord_of_the_Flies,Lord of the Flies,William Golding,38479,2313464,3.69,182,1999,0,"Classics, Fiction, Young Adult",,,6.07,0.25
https://www.goodreads.com//book/show/375802.Ender_s_Game,Ender's Game,Orson Scott Card,43661,1156769,4.3,352,2004,1,"Science Fiction, Fiction, Young Adult",5.0,,7.9,2.08
https://www.goodreads.com//book/show/6288.The_Road,The Road,Cormac McCarthy,46343,731588,3.97,241,2006,0,"Fiction, Science Fiction, Science Fiction",12.0,United States of America,6.91,1.09
https://www.goodreads.com//book/show/6186357-the-maze-runner,The Maze Runner,James Dashner,56160,1095667,4.03,384,2009,1,"Young Adult, Science Fiction, Dystopia",9.0,,7.09,1.27
https://www.goodreads.com//book/show/149267.The_Stand,The Stand,Stephen King,21419,630118,4.34,1172,1990,0,"Horror, Fiction, Fantasy",4.0,"United States of America, New York City, New York, Boulder, Colorado, Las Vegas, Nevada, Arnett, Texas, Pennsylvania, Arkansas, Arizona, Nevada, Idaho, Boulder, Colorado, Ogunquit, Maine",8.02,2.2
https://www.goodreads.com//book/show/24770.Uglies,Uglies,Scott Westerfeld,23736,571822,3.85,425,2005,1,"Young Adult, Science Fiction, Dystopia",9.0,,6.55,0.73
https://www.goodreads.com//book/show/11614718-delirium,Delirium,Lauren Oliver,26436,423968,3.97,441,2012,1,"Young Adult, Science Fiction, Dystopia",4.0,"Portland, Maine",6.91,1.09
https://www.goodreads.com//book/show/7735333-matched,Matched,Ally Condie,33213,667860,3.66,369,2010,1,"Young Adult, Science Fiction, Dystopia",9.0,,5.98,0.16
https://www.goodreads.com//book/show/5805.V_for_Vendetta,V for Vendetta,Alan Moore,5615,270136,4.25,296,2005,1,"Sequential Art, Graphic Novels, Sequential Art",2.0,United Kingdom,7.75,1.93
https://www.goodreads.com//book/show/764347.Unwind,Unwind,Neal Shusterman,18924,197590,4.16,337,2007,1,"Young Adult, Science Fiction, Dystopia",10.0,"Akron, Ohio, Ohio, Scottsburg, Indiana, Arizona, Joplin, Missouri",7.48,1.66
https://www.goodreads.com//book/show/6334.Never_Let_Me_Go,Never Let Me Go,Kazuo Ishiguro,32407,487219,3.82,288,2010,0,"Fiction, Science Fiction, Science Fiction",8.0,"Hailsham, Norfolk, England, The Cottages, Kingsfield",6.46,0.64
https://www.goodreads.com//book/show/46756.Oryx_and_Crake,Oryx and Crake,Margaret Atwood,13702,226357,4.01,389,2004,1,"Fiction, Science Fiction, Science Fiction",5.0,,7.03,1.21
https://www.goodreads.com//book/show/9969571-ready-player-one,Ready Player One,Ernest Cline,88661,896426,4.25,374,2011,1,"Science Fiction, Fiction, Young Adult",10.0,"Columbus, Ohio, Oklahoma City, Oklahoma",7.75,1.93
https://www.goodreads.com//book/show/8908.World_War_Z,World War Z: An Oral History of the Zombie War,Max Brooks,25871,450555,4.01,342,2006,1,"Horror, Fiction, Horror",4.0,,7.03,1.21
https://www.goodreads.com//book/show/9275658-legend,Legend,Marie Lu,29099,422796,4.16,305,2011,1,"Young Adult, Science Fiction, Dystopia",8.0,"Los Angeles, The Republic of America",7.48,1.66
https://www.goodreads.com//book/show/7082.Do_Androids_Dream_of_Electric_Sheep_,Do Androids Dream of Electric Sheep?,Philip K. Dick,13492,356294,4.08,244,1996,1,"Science Fiction, Fiction, Classics",1.0,"San Francisco, California, California, United States of America",7.24,1.42
https://www.goodreads.com//book/show/472331.Watchmen,Watchmen,Alan Moore,14399,493169,4.36,416,2005,1,"Sequential Art, Graphic Novels, Sequential Art",17.0,"New York City, New York",8.08,2.26
https://www.goodreads.com//book/show/307791.The_City_of_Ember,The City of Ember,Jeanne DuPrau,11285,251409,3.86,288,2003,1,"Young Adult, Fantasy, Science Fiction",14.0,,6.58,0.76
